St. Jude Medical. File Revision : 5.0.2
Export Data Element : EnGuideShadows
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000


Text
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible
EnGuide ID
Number of Electrodes
R,G,B: EnGuide color values
sR,sG,sB: Shadow color values
Diameter
Electrode Len
Distal Len
Fit Status

Name,Display,Visibility,ID,num,R,G,B,sR,sG,sB,Diameter,eL,dL,Fs,
Ch1,Fs1,Rx1,Ry1,Rz1,x1,y1,z1,Sp1,Ch2,Fs2,Rx2,Ry2,Rz2,x2,y2,z2,Sp2,Ch3,Fs3,Rx3,Ry3,Rz3,x3,y3,z3,Sp3,Ch4,Fs4,Rx4,Ry4,Rz4,x4,y4,z4,Sp4,Ch5,Fs5,Rx5,Ry5,Rz5,x5,y5,z5,Sp5,Ch6,Fs6,Rx6,Ry6,Rz6,x6,y6,z6,Sp6,Ch7,Fs7,Rx7,Ry7,Rz7,x7,y7,z7,Sp7,Ch8,Fs8,Rx8,Ry8,Rz8,x8,y8,z8,Sp8,Ch9,Fs9,Rx9,Ry9,Rz9,x9,y9,z9,Sp9,Ch10,Fs10,Rx10,Ry10,Rz10,x10,y10,z10,Sp10,
16,GOOD_FIT,65.070,-48.140,326.137,62.313,-9.789,332.939,2.000,17,GOOD_FIT,63.129,-49.438,324.265,61.257,-12.151,331.421,5.000,18,GOOD_FIT,59.838,-51.406,321.835,59.287,-15.753,329.130,2.000,19,GOOD_FIT,57.457,-52.366,319.843,57.811,-17.739,327.149,5.000,20,GOOD_FIT,52.661,-54.498,318.199,54.379,-21.394,325.550,2.000,21,GOOD_FIT,49.571,-56.189,317.355,52.098,-24.932,324.566,5.000,22,GOOD_FIT,44.945,-58.629,316.311,48.383,-30.361,323.065,2.000,23,GOOD_FIT,42.390,-59.811,315.951,46.180,-32.943,322.501,5.000,24,GOOD_FIT,37.412,-62.159,315.225,41.884,-38.374,321.204,2.000,25,GOOD_FIT,35.081,-63.264,313.570,40.059,-41.837,319.055,0.000,
26,GOOD_FIT,-38.270,-175.078,485.313,-44.866,-151.941,422.615,5.000,27,GOOD_FIT,-29.428,-165.833,473.064,-36.272,-146.626,415.791,5.000,28,GOOD_FIT,-23.477,-157.063,462.816,-29.193,-141.211,411.426,5.000,29,GOOD_FIT,-19.058,-148.199,454.721,-23.496,-135.176,410.298,0.000,
16,GOOD_FIT,60.578,-49.337,321.160,59.870,-12.374,328.677,2.000,17,GOOD_FIT,58.731,-50.850,319.527,58.770,-15.272,327.006,5.000,18,GOOD_FIT,54.081,-53.286,318.514,55.470,-19.380,326.015,2.000,19,GOOD_FIT,51.527,-54.720,316.884,53.624,-22.077,324.278,5.000,20,GOOD_FIT,47.245,-57.540,315.949,50.300,-28.196,322.792,2.000,21,GOOD_FIT,44.408,-59.436,315.625,47.867,-32.295,322.001,5.000,22,GOOD_FIT,39.788,-61.934,314.513,43.840,-38.158,320.172,2.000,23,GOOD_FIT,37.212,-63.214,313.758,41.708,-41.491,318.985,5.000,24,GOOD_FIT,32.599,-66.020,312.721,37.617,-49.294,317.283,2.000,25,GOOD_FIT,30.392,-67.279,310.972,35.791,-53.933,315.258,0.000,
0,GOOD_FIT,5.768,-113.530,346.714,-10.013,-145.875,339.869,6.990,1,GOOD_FIT,5.610,-106.533,350.777,-3.497,-130.941,351.085,6.990,2,GOOD_FIT,3.948,-97.722,350.581,-0.444,-116.469,356.388,6.990,3,GOOD_FIT,2.708,-89.678,344.941,2.306,-103.986,353.205,6.990,4,GOOD_FIT,2.269,-80.468,337.176,6.130,-84.453,345.142,6.990,5,GOOD_FIT,0.626,-73.679,330.799,7.048,-67.471,338.125,6.990,6,GOOD_FIT,-3.855,-70.044,318.800,4.328,-65.213,329.192,6.990,7,GOOD_FIT,-11.588,-68.867,302.609,-3.971,-76.099,316.329,0.000,
8,GOOD_FIT,8.039,-114.116,345.014,-8.242,-146.769,337.401,6.990,9,GOOD_FIT,8.470,-106.071,347.982,-0.039,-130.657,347.439,6.990,10,GOOD_FIT,6.227,-97.586,348.299,2.282,-116.526,353.246,6.990,11,GOOD_FIT,3.749,-89.693,343.308,3.516,-104.511,350.921,6.990,12,GOOD_FIT,3.211,-79.884,336.194,7.438,-82.901,343.736,6.990,13,GOOD_FIT,2.995,-74.078,328.466,9.717,-69.303,335.174,6.990,14,GOOD_FIT,0.239,-70.883,317.380,9.311,-67.092,326.193,6.990,15,GOOD_FIT,-7.903,-69.523,301.765,0.794,-77.691,314.171,0.000,
32,GOOD_FIT,8.694,-115.522,340.241,-9.802,-150.807,332.685,6.990,33,GOOD_FIT,12.675,-108.606,334.734,-0.710,-140.722,330.279,6.990,34,GOOD_FIT,18.670,-100.440,326.598,10.921,-127.732,324.691,6.990,35,GOOD_FIT,23.794,-94.321,321.341,20.248,-116.374,320.727,6.990,36,GOOD_FIT,23.374,-88.166,315.748,23.301,-107.371,316.182,6.990,37,GOOD_FIT,18.010,-82.705,311.178,21.711,-99.701,313.412,6.990,38,GOOD_FIT,8.494,-77.934,305.080,15.561,-94.336,310.475,6.990,39,GOOD_FIT,-5.779,-72.854,297.782,0.957,-93.278,306.319,0.000,
40,GOOD_FIT,7.003,-116.833,337.056,-13.178,-154.449,330.091,6.990,41,GOOD_FIT,9.126,-112.122,328.742,-8.919,-150.472,324.355,6.990,42,GOOD_FIT,13.812,-104.977,318.635,-0.024,-142.180,315.822,6.990,43,GOOD_FIT,14.730,-99.470,311.436,4.475,-135.252,310.222,6.990,44,GOOD_FIT,11.981,-93.503,306.070,5.493,-129.621,306.063,6.990,45,GOOD_FIT,6.525,-87.432,302.057,4.236,-123.110,304.014,6.990,46,GOOD_FIT,-0.512,-81.412,299.163,0.474,-114.955,303.225,6.990,47,GOOD_FIT,-9.528,-74.700,294.868,-7.824,-106.503,300.616,0.000,
64,GOOD_FIT,3.821,-115.557,334.710,-16.458,-155.089,329.197,6.990,65,GOOD_FIT,2.012,-112.690,326.016,-17.496,-154.448,323.965,6.990,66,GOOD_FIT,-0.104,-106.410,316.444,-17.375,-150.245,317.242,6.990,67,GOOD_FIT,-3.076,-99.853,308.038,-17.657,-144.415,310.188,6.990,68,GOOD_FIT,-6.490,-93.496,301.820,-19.465,-138.545,304.268,6.990,69,GOOD_FIT,-9.363,-87.457,298.712,-19.860,-132.276,301.142,6.990,70,GOOD_FIT,-12.467,-81.117,296.310,-19.436,-121.972,299.839,6.990,71,GOOD_FIT,-16.410,-74.239,292.931,-20.928,-110.038,297.584,0.000,
72,GOOD_FIT,1.648,-114.478,335.077,-18.395,-154.694,330.070,6.990,73,GOOD_FIT,-2.705,-110.520,328.181,-21.157,-152.706,326.666,6.990,74,GOOD_FIT,-6.580,-104.486,322.187,-23.518,-148.819,323.152,6.990,75,GOOD_FIT,-9.755,-98.212,316.251,-24.412,-143.471,319.080,6.990,76,GOOD_FIT,-13.438,-91.617,310.426,-25.442,-135.996,314.495,6.990,77,GOOD_FIT,-16.653,-84.870,304.137,-27.236,-129.901,307.665,6.990,78,GOOD_FIT,-22.531,-76.922,296.431,-31.569,-115.892,301.402,6.990,79,GOOD_FIT,-22.795,-71.458,291.287,-28.491,-102.794,297.692,0.000,
