St. Jude Medical. File Revision : 5.0.2
Export Data Element : EnGuideShadows
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000


Text
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible
EnGuide ID
Number of Electrodes
R,G,B: EnGuide color values
sR,sG,sB: Shadow color values
Diameter
Electrode Len
Distal Len
Fit Status

Name,Display,Visibility,ID,num,R,G,B,sR,sG,sB,Diameter,eL,dL,Fs,
72,GOOD_FIT,6.135,-119.034,332.208,-15.438,-158.505,326.412,6.990,73,GOOD_FIT,4.763,-112.601,321.745,-14.564,-154.432,319.919,6.990,74,GOOD_FIT,3.388,-105.476,312.208,-13.142,-148.718,312.759,6.990,75,GOOD_FIT,-0.094,-99.176,305.639,-13.802,-143.367,307.525,6.990,76,GOOD_FIT,-4.348,-92.691,300.669,-16.006,-136.915,302.921,6.990,77,GOOD_FIT,-8.396,-86.439,297.800,-17.932,-130.912,300.059,6.990,78,GOOD_FIT,-14.159,-79.619,295.597,-20.828,-119.573,299.413,6.990,79,GOOD_FIT,-20.327,-72.677,292.019,-26.194,-106.229,297.620,0.000,
96,GOOD_FIT,3.427,-118.622,332.095,-18.040,-158.814,327.039,6.990,97,GOOD_FIT,-0.886,-113.513,325.506,-20.974,-156.164,324.255,6.990,98,GOOD_FIT,-5.175,-106.413,318.501,-22.770,-150.889,319.800,6.990,99,GOOD_FIT,-9.204,-99.774,312.965,-24.788,-145.380,315.821,6.990,100,GOOD_FIT,-12.714,-93.215,308.797,-26.018,-138.782,312.325,6.990,101,GOOD_FIT,-16.245,-86.700,304.406,-27.430,-131.912,307.957,6.990,102,GOOD_FIT,-22.667,-78.595,298.198,-32.112,-117.950,303.547,6.990,103,GOOD_FIT,-26.951,-71.411,291.782,-34.312,-103.693,298.164,0.000,
104,GOOD_FIT,2.625,-118.843,336.338,-18.776,-158.189,330.145,6.990,105,GOOD_FIT,-1.966,-113.225,334.300,-21.381,-154.222,330.493,6.990,106,GOOD_FIT,-5.916,-106.397,333.571,-22.244,-147.756,331.642,6.990,107,GOOD_FIT,-8.271,-99.403,330.966,-20.716,-138.215,332.818,6.990,108,GOOD_FIT,-10.876,-91.428,325.647,-19.391,-127.291,331.178,6.990,109,GOOD_FIT,-15.198,-84.238,318.716,-20.921,-116.590,328.173,6.990,110,GOOD_FIT,-20.498,-77.356,309.225,-25.345,-103.848,321.471,6.990,111,GOOD_FIT,-26.413,-70.467,295.198,-31.734,-97.086,304.391,0.000,
16,GOOD_FIT,53.783,-50.426,316.238,55.636,-15.025,324.795,2.000,17,GOOD_FIT,51.435,-52.769,315.560,53.817,-19.062,323.690,5.000,18,GOOD_FIT,47.041,-56.358,314.920,50.368,-26.101,322.135,2.000,19,GOOD_FIT,44.426,-58.026,314.046,48.306,-30.083,320.729,5.000,20,GOOD_FIT,39.865,-60.844,313.213,44.292,-36.533,319.144,2.000,21,GOOD_FIT,37.044,-62.651,312.244,41.891,-41.148,317.521,5.000,22,GOOD_FIT,32.730,-65.518,310.091,38.100,-49.433,314.483,2.000,23,GOOD_FIT,30.381,-67.179,309.365,35.969,-54.585,313.524,5.000,24,GOOD_FIT,25.513,-70.135,307.763,31.883,-64.548,311.605,2.000,25,GOOD_FIT,23.123,-71.251,306.177,30.022,-69.097,310.058,0.000,
0,GOOD_FIT,3.535,-111.871,343.844,-12.245,-146.021,338.138,6.990,1,GOOD_FIT,-0.854,-105.226,345.234,-11.750,-135.984,344.498,6.990,2,GOOD_FIT,-4.596,-97.895,342.923,-12.716,-125.037,347.783,6.990,3,GOOD_FIT,-8.042,-90.660,335.917,-13.600,-115.458,343.880,6.990,4,GOOD_FIT,-11.753,-83.930,327.166,-15.087,-105.754,338.947,6.990,5,GOOD_FIT,-16.840,-77.387,316.046,-18.477,-95.923,329.902,6.990,6,GOOD_FIT,-25.185,-71.065,300.492,-28.790,-93.261,312.374,6.990,7,GOOD_FIT,-30.322,-66.066,286.678,-36.775,-91.042,295.187,0.000,
8,GOOD_FIT,6.059,-111.032,344.539,-8.165,-142.795,339.302,6.990,9,GOOD_FIT,4.580,-102.831,347.808,-2.773,-126.961,349.647,6.990,10,GOOD_FIT,1.672,-94.824,345.725,-1.963,-114.710,352.912,6.990,11,GOOD_FIT,-1.646,-86.674,338.865,-1.882,-102.163,347.742,6.990,12,GOOD_FIT,-4.347,-78.448,330.915,-1.777,-83.509,340.048,6.990,13,GOOD_FIT,-8.305,-72.479,321.060,-2.912,-72.386,332.869,6.990,14,GOOD_FIT,-15.211,-68.166,306.950,-8.699,-71.441,322.636,6.990,15,GOOD_FIT,-25.464,-64.799,288.596,-27.074,-81.632,300.303,0.000,
32,GOOD_FIT,8.859,-112.101,343.020,-6.029,-143.916,336.985,6.990,33,GOOD_FIT,11.942,-103.094,341.906,4.969,-127.554,341.447,6.990,34,GOOD_FIT,12.852,-94.160,338.048,11.332,-113.144,340.999,6.990,35,GOOD_FIT,11.387,-85.504,331.010,14.636,-98.875,335.953,6.990,36,GOOD_FIT,9.885,-78.199,325.265,15.897,-81.446,330.042,6.990,37,GOOD_FIT,5.878,-72.552,318.209,14.153,-69.755,325.209,6.990,38,GOOD_FIT,-5.289,-68.519,303.685,4.949,-71.387,316.195,6.990,39,GOOD_FIT,-18.135,-65.712,288.616,-15.275,-80.658,300.323,0.000,
40,GOOD_FIT,9.397,-112.903,337.333,-7.806,-148.156,331.087,6.990,41,GOOD_FIT,14.076,-104.785,331.346,3.290,-135.674,328.322,6.990,42,GOOD_FIT,19.941,-97.451,324.401,14.408,-122.619,323.297,6.990,43,GOOD_FIT,22.202,-90.787,318.983,20.684,-111.422,319.190,6.990,44,GOOD_FIT,19.198,-84.363,313.157,22.299,-102.736,314.964,6.990,45,GOOD_FIT,12.186,-78.705,306.519,18.555,-93.846,310.753,6.990,46,GOOD_FIT,-0.062,-73.898,298.607,9.723,-92.536,306.065,6.990,47,GOOD_FIT,-15.221,-68.275,287.290,-13.511,-90.559,295.649,0.000,
64,GOOD_FIT,7.366,-115.639,336.222,-12.422,-153.422,329.555,6.990,65,GOOD_FIT,10.680,-109.873,326.993,-5.769,-147.371,322.983,6.990,66,GOOD_FIT,15.021,-102.689,316.353,2.817,-138.728,313.941,6.990,67,GOOD_FIT,15.101,-96.850,309.628,6.660,-131.621,308.778,6.990,68,GOOD_FIT,11.383,-90.676,303.760,7.337,-125.328,304.608,6.990,69,GOOD_FIT,4.969,-84.603,299.128,4.060,-120.867,301.454,6.990,70,GOOD_FIT,-4.058,-78.575,294.320,-3.260,-112.751,298.406,6.990,71,GOOD_FIT,-18.637,-70.532,285.926,-22.930,-102.383,290.763,0.000,
72,GOOD_FIT,4.908,-116.793,335.535,-15.722,-155.750,329.362,6.990,73,GOOD_FIT,2.796,-113.718,326.341,-17.193,-155.305,323.918,6.990,74,GOOD_FIT,1.253,-106.748,316.276,-15.951,-150.201,316.754,6.990,75,GOOD_FIT,-1.257,-99.928,308.302,-15.414,-144.015,310.195,6.990,76,GOOD_FIT,-4.827,-93.148,301.553,-16.889,-137.597,303.864,6.990,77,GOOD_FIT,-8.662,-86.744,296.550,-18.948,-131.733,298.569,6.990,78,GOOD_FIT,-14.026,-79.803,292.427,-21.770,-121.390,295.242,6.990,79,GOOD_FIT,-24.771,-70.148,283.067,-32.383,-105.279,286.333,0.000,
96,GOOD_FIT,2.398,-116.084,336.611,-17.970,-155.516,330.772,6.990,97,GOOD_FIT,-2.311,-112.396,330.163,-21.521,-154.200,327.820,6.990,98,GOOD_FIT,-6.605,-105.911,322.465,-24.024,-150.197,323.280,6.990,99,GOOD_FIT,-9.891,-98.916,314.606,-25.112,-144.546,317.535,6.990,100,GOOD_FIT,-13.215,-92.308,308.544,-25.983,-137.516,312.256,6.990,101,GOOD_FIT,-16.896,-85.786,302.165,-28.360,-131.410,305.317,6.990,102,GOOD_FIT,-24.028,-77.393,293.402,-34.286,-119.064,296.790,6.990,103,GOOD_FIT,-32.228,-68.455,282.298,-41.323,-103.123,285.921,0.000,
104,GOOD_FIT,1.879,-114.172,340.693,-16.902,-152.107,334.260,6.990,105,GOOD_FIT,-3.055,-108.209,338.476,-18.758,-146.356,335.413,6.990,106,GOOD_FIT,-7.492,-101.344,335.933,-20.395,-138.822,336.508,6.990,107,GOOD_FIT,-9.993,-93.997,329.369,-19.411,-130.413,333.736,6.990,108,GOOD_FIT,-14.220,-86.723,321.069,-21.037,-119.913,329.827,6.990,109,GOOD_FIT,-20.151,-79.634,309.932,-26.664,-110.800,320.213,6.990,110,GOOD_FIT,-30.422,-71.440,294.518,-38.734,-103.037,301.879,6.990,111,GOOD_FIT,-34.916,-66.007,282.083,-43.502,-97.659,286.809,0.000,
26,GOOD_FIT,-22.012,-106.337,420.428,-21.735,-107.013,402.574,5.000,27,GOOD_FIT,-18.432,-105.848,418.610,-18.043,-106.266,402.244,5.000,28,GOOD_FIT,-15.010,-104.530,411.601,-15.397,-106.321,398.524,5.000,29,GOOD_FIT,-11.583,-103.307,404.187,-12.573,-106.387,394.460,0.000,
128,GOOD_FIT,4.140,-73.019,331.037,11.187,-64.814,337.947,1.000,129,GOOD_FIT,8.296,-72.764,330.577,15.911,-63.520,336.807,4.000,130,GOOD_FIT,14.804,-72.787,329.272,22.266,-63.082,334.932,1.000,131,GOOD_FIT,17.720,-72.914,328.792,24.888,-63.177,334.295,0.000,
0,GOOD_FIT,48.306,-66.480,404.610,50.011,-39.665,393.438,6.990,1,GOOD_FIT,45.116,-63.698,390.590,47.720,-36.690,384.782,6.990,2,GOOD_FIT,41.525,-60.871,379.204,44.770,-32.312,376.238,6.990,3,GOOD_FIT,38.154,-62.575,367.247,42.401,-35.210,367.388,6.990,4,GOOD_FIT,33.000,-63.610,358.012,38.370,-36.403,361.027,6.990,5,GOOD_FIT,26.258,-64.612,350.169,33.371,-37.158,356.181,6.990,6,GOOD_FIT,17.193,-66.583,345.136,25.893,-40.936,353.365,6.990,7,GOOD_FIT,6.745,-69.588,343.603,15.147,-49.447,352.614,0.000,
8,GOOD_FIT,47.453,-69.749,403.231,49.546,-44.656,392.626,6.990,9,GOOD_FIT,44.877,-69.283,390.986,47.797,-45.653,385.249,6.990,10,GOOD_FIT,38.482,-67.782,379.882,42.284,-44.122,378.181,6.990,11,GOOD_FIT,35.701,-69.164,368.776,40.141,-47.784,370.686,6.990,12,GOOD_FIT,32.670,-70.476,358.091,38.143,-51.199,363.329,6.990,13,GOOD_FIT,27.591,-71.830,349.062,34.595,-54.631,356.868,6.990,14,GOOD_FIT,18.919,-72.877,343.453,27.383,-57.881,352.164,6.990,15,GOOD_FIT,7.718,-73.239,341.222,15.531,-60.406,349.556,0.000,
32,GOOD_FIT,44.347,-73.722,406.200,46.918,-49.932,394.618,6.990,33,GOOD_FIT,39.335,-79.135,397.595,42.058,-60.378,389.371,6.990,34,GOOD_FIT,32.121,-78.218,389.751,35.618,-60.597,385.276,6.990,35,GOOD_FIT,26.040,-79.317,379.934,30.208,-64.794,379.995,6.990,36,GOOD_FIT,20.125,-81.293,371.430,24.825,-70.961,375.597,6.990,37,GOOD_FIT,13.512,-82.661,363.839,18.497,-77.357,371.439,6.990,38,GOOD_FIT,7.744,-82.476,355.020,12.436,-81.473,364.835,6.990,39,GOOD_FIT,2.339,-78.324,346.891,7.584,-73.709,356.541,0.000,
40,GOOD_FIT,41.163,-74.496,406.755,44.130,-50.871,395.193,6.990,41,GOOD_FIT,34.547,-79.478,399.563,37.462,-60.595,391.013,6.990,42,GOOD_FIT,27.350,-81.117,392.496,30.695,-65.258,387.391,6.990,43,GOOD_FIT,21.247,-80.885,382.908,25.385,-67.214,382.440,6.990,44,GOOD_FIT,14.253,-82.095,374.100,19.195,-72.646,378.287,6.990,45,GOOD_FIT,6.641,-83.947,366.871,10.940,-81.120,374.497,6.990,46,GOOD_FIT,1.593,-82.403,359.241,5.594,-81.319,368.985,6.990,47,GOOD_FIT,-0.952,-78.091,349.633,3.678,-72.686,359.674,0.000,
64,GOOD_FIT,38.853,-72.476,406.351,41.986,-47.684,395.061,6.990,65,GOOD_FIT,30.044,-76.453,400.345,33.679,-55.185,391.929,6.990,66,GOOD_FIT,21.273,-79.110,396.202,25.250,-60.834,390.206,6.990,67,GOOD_FIT,14.241,-77.230,387.349,19.890,-59.031,385.800,6.990,68,GOOD_FIT,4.129,-76.400,379.203,11.655,-58.984,382.406,6.990,69,GOOD_FIT,-4.018,-76.356,374.491,3.052,-60.515,379.913,6.990,70,GOOD_FIT,-6.868,-75.387,366.512,-1.160,-60.367,374.312,6.990,71,GOOD_FIT,-4.618,-73.742,354.411,0.863,-58.930,364.256,0.000,
72,GOOD_FIT,39.484,-68.956,407.037,42.413,-42.129,395.377,6.990,73,GOOD_FIT,31.191,-68.966,398.349,35.053,-42.760,390.493,6.990,74,GOOD_FIT,22.465,-68.322,391.602,27.374,-42.054,386.668,6.990,75,GOOD_FIT,13.036,-67.147,386.517,19.718,-39.928,383.955,6.990,76,GOOD_FIT,1.615,-66.422,380.284,10.414,-38.269,380.363,6.990,77,GOOD_FIT,-7.247,-65.413,374.064,1.860,-36.434,375.811,6.990,78,GOOD_FIT,-10.522,-65.846,366.712,-2.237,-37.906,370.858,6.990,79,GOOD_FIT,-6.250,-69.043,354.525,0.491,-46.807,363.151,0.000,
96,GOOD_FIT,42.425,-65.854,406.900,44.836,-37.679,395.106,6.990,97,GOOD_FIT,35.415,-63.529,396.269,38.835,-34.425,388.889,6.990,98,GOOD_FIT,28.314,-60.805,387.713,32.617,-30.119,383.255,6.990,99,GOOD_FIT,21.151,-59.615,381.329,26.626,-28.042,378.809,6.990,100,GOOD_FIT,12.237,-57.725,374.448,19.229,-24.426,373.137,6.990,101,GOOD_FIT,2.375,-56.145,366.999,11.031,-20.937,366.591,6.990,102,GOOD_FIT,-3.555,-58.588,359.160,6.007,-24.617,362.751,6.990,103,GOOD_FIT,-2.582,-65.842,350.180,5.765,-38.647,358.891,0.000,
104,GOOD_FIT,46.021,-64.979,405.200,47.931,-37.041,393.932,6.990,105,GOOD_FIT,42.230,-59.520,390.880,44.607,-29.409,384.536,6.990,106,GOOD_FIT,38.682,-56.636,381.895,41.738,-24.543,377.616,6.990,107,GOOD_FIT,33.102,-57.383,372.456,37.378,-25.249,370.325,6.990,108,GOOD_FIT,26.552,-58.468,363.079,32.021,-26.115,363.257,6.990,109,GOOD_FIT,18.990,-59.699,354.449,26.183,-26.921,357.960,6.990,110,GOOD_FIT,10.805,-62.012,349.179,19.640,-30.313,356.126,6.990,111,GOOD_FIT,3.183,-67.232,344.983,11.717,-42.728,354.333,0.000,
16,GOOD_FIT,-6.303,-105.803,371.669,-14.864,-122.038,374.242,2.000,17,GOOD_FIT,-6.429,-103.206,367.775,-14.463,-119.972,372.592,5.000,18,GOOD_FIT,-6.958,-99.173,362.213,-14.055,-116.381,369.202,2.000,19,GOOD_FIT,-7.078,-96.817,358.060,-13.699,-114.558,366.522,5.000,20,GOOD_FIT,-7.663,-93.037,352.393,-13.296,-110.572,362.486,2.000,21,GOOD_FIT,-8.270,-90.394,348.534,-13.162,-107.178,359.117,5.000,22,GOOD_FIT,-8.975,-86.999,342.210,-12.926,-103.562,353.324,2.000,23,GOOD_FIT,-9.789,-85.130,338.888,-13.351,-101.349,350.698,5.000,24,GOOD_FIT,-10.964,-81.426,333.594,-13.112,-93.322,345.239,2.000,25,GOOD_FIT,-11.894,-79.582,330.038,-13.159,-90.117,341.925,0.000,
0,GOOD_FIT,47.577,-70.139,361.221,51.362,-51.106,364.141,6.990,1,GOOD_FIT,53.076,-69.639,348.481,55.689,-51.066,354.560,6.990,2,GOOD_FIT,55.789,-68.829,337.237,57.015,-49.977,345.930,6.990,3,GOOD_FIT,51.594,-66.945,330.933,53.514,-45.935,339.263,6.990,4,GOOD_FIT,41.147,-65.503,329.916,45.459,-41.643,337.852,6.990,5,GOOD_FIT,30.065,-65.612,331.602,36.947,-41.127,339.048,6.990,6,GOOD_FIT,20.027,-66.972,336.624,28.812,-43.362,344.395,6.990,7,GOOD_FIT,12.108,-68.306,343.853,20.977,-45.591,352.586,0.000,
8,GOOD_FIT,46.087,-72.939,362.832,49.940,-56.543,366.174,6.990,9,GOOD_FIT,50.941,-76.174,351.462,53.557,-64.448,357.941,6.990,10,GOOD_FIT,53.898,-78.863,339.849,54.364,-71.745,348.156,6.990,11,GOOD_FIT,50.960,-79.290,332.917,51.008,-74.754,340.195,6.990,12,GOOD_FIT,41.505,-78.303,330.319,43.154,-74.101,336.708,6.990,13,GOOD_FIT,29.210,-76.432,332.119,34.227,-70.000,338.692,6.990,14,GOOD_FIT,19.322,-74.583,337.251,27.228,-64.443,344.595,6.990,15,GOOD_FIT,11.782,-72.114,343.868,20.365,-55.928,352.812,0.000,
32,GOOD_FIT,42.139,-74.902,367.510,46.132,-59.642,370.312,6.990,33,GOOD_FIT,36.196,-80.119,369.155,39.959,-68.772,371.831,6.990,34,GOOD_FIT,27.259,-82.766,370.029,31.348,-73.887,373.512,6.990,35,GOOD_FIT,17.324,-83.743,368.582,21.742,-77.550,374.171,6.990,36,GOOD_FIT,7.256,-85.453,366.582,10.885,-84.436,374.089,6.990,37,GOOD_FIT,-0.783,-84.794,363.032,1.810,-87.146,372.160,6.990,38,GOOD_FIT,-3.591,-79.314,354.846,-0.205,-75.112,365.465,6.990,39,GOOD_FIT,1.669,-73.476,351.014,8.993,-58.289,360.706,0.000,
40,GOOD_FIT,40.010,-73.404,372.704,44.023,-55.785,373.855,6.990,41,GOOD_FIT,32.192,-76.906,376.187,36.320,-61.206,377.008,6.990,42,GOOD_FIT,22.958,-79.393,375.766,27.553,-65.895,377.934,6.990,43,GOOD_FIT,13.688,-81.489,373.931,18.855,-71.407,378.261,6.990,44,GOOD_FIT,3.575,-83.741,371.073,8.016,-79.774,377.603,6.990,45,GOOD_FIT,-3.621,-83.921,365.431,-1.274,-84.589,374.089,6.990,46,GOOD_FIT,-4.325,-79.222,356.544,-1.007,-74.399,366.993,6.990,47,GOOD_FIT,0.801,-73.579,352.268,8.087,-58.247,362.050,0.000,
64,GOOD_FIT,38.300,-68.243,374.434,42.310,-45.633,374.427,6.990,65,GOOD_FIT,33.525,-68.405,385.424,37.426,-44.064,382.302,6.990,66,GOOD_FIT,25.204,-69.243,388.029,29.823,-44.477,384.445,6.990,67,GOOD_FIT,15.593,-69.378,386.222,21.708,-44.284,384.000,6.990,68,GOOD_FIT,3.709,-69.593,381.557,12.046,-44.515,382.084,6.990,69,GOOD_FIT,-6.297,-69.748,376.905,2.236,-45.353,379.381,6.990,70,GOOD_FIT,-7.729,-69.104,368.369,-0.011,-45.101,373.349,6.990,71,GOOD_FIT,-1.417,-68.931,358.124,6.619,-45.364,366.029,0.000,
72,GOOD_FIT,39.720,-64.514,374.471,43.622,-38.733,373.766,6.990,73,GOOD_FIT,36.044,-59.708,383.096,39.558,-29.448,379.383,6.990,74,GOOD_FIT,27.675,-59.987,386.064,32.106,-28.865,382.092,6.990,75,GOOD_FIT,17.750,-61.275,385.775,23.730,-30.303,382.382,6.990,76,GOOD_FIT,6.322,-62.859,380.920,14.426,-32.295,379.580,6.990,77,GOOD_FIT,-5.868,-63.188,375.159,3.540,-32.534,375.711,6.990,78,GOOD_FIT,-9.831,-63.363,367.870,-0.596,-32.865,370.703,6.990,79,GOOD_FIT,-2.742,-66.069,357.225,5.680,-38.366,364.405,0.000,
96,GOOD_FIT,42.608,-63.805,368.043,46.576,-37.933,368.171,6.990,97,GOOD_FIT,37.032,-56.468,373.811,40.778,-24.094,370.892,6.990,98,GOOD_FIT,26.841,-57.540,373.342,31.776,-25.016,371.634,6.990,99,GOOD_FIT,16.412,-57.992,372.172,22.754,-25.010,371.291,6.990,100,GOOD_FIT,2.427,-56.570,371.344,11.117,-21.968,370.169,6.990,101,GOOD_FIT,-12.805,-54.217,368.390,-1.680,-19.168,367.345,6.990,102,GOOD_FIT,-14.027,-56.795,360.320,-3.775,-23.202,363.259,6.990,103,GOOD_FIT,-1.519,-64.020,352.129,7.408,-33.913,359.978,0.000,
104,GOOD_FIT,46.959,-66.685,363.454,50.842,-44.027,365.063,6.990,105,GOOD_FIT,49.734,-63.365,354.096,53.181,-37.595,356.639,6.990,106,GOOD_FIT,49.945,-60.850,344.783,52.742,-32.055,349.364,6.990,107,GOOD_FIT,45.674,-59.130,337.430,49.201,-27.706,343.848,6.990,108,GOOD_FIT,36.800,-58.538,333.316,42.463,-25.864,340.412,6.990,109,GOOD_FIT,26.869,-60.737,333.622,34.799,-29.847,341.071,6.990,110,GOOD_FIT,17.302,-63.704,337.597,26.542,-34.883,345.625,6.990,111,GOOD_FIT,9.700,-66.336,343.673,18.804,-40.225,352.508,0.000,
128,GOOD_FIT,18.361,-83.590,373.959,22.594,-75.351,377.518,1.000,129,GOOD_FIT,14.792,-82.942,369.423,19.545,-75.942,375.149,4.000,130,GOOD_FIT,13.448,-82.067,364.742,18.636,-75.613,372.206,1.000,131,GOOD_FIT,12.404,-81.532,362.575,17.861,-75.214,370.644,0.000,
0,GOOD_FIT,59.593,-67.811,324.026,59.929,-50.091,330.307,6.990,1,GOOD_FIT,52.971,-66.994,320.907,54.466,-48.442,325.982,6.990,2,GOOD_FIT,37.100,-64.541,321.340,41.596,-41.111,327.717,6.990,3,GOOD_FIT,26.871,-63.124,322.570,34.082,-38.068,329.504,6.990,4,GOOD_FIT,20.278,-63.110,330.468,29.354,-35.545,337.876,6.990,5,GOOD_FIT,16.861,-62.563,339.252,26.072,-32.403,347.054,6.990,6,GOOD_FIT,16.398,-62.674,350.409,24.551,-32.148,356.666,6.990,7,GOOD_FIT,17.353,-63.492,361.357,24.299,-34.508,365.457,0.000,
8,GOOD_FIT,61.210,-70.246,324.664,61.242,-56.138,330.848,6.990,9,GOOD_FIT,58.310,-73.374,323.700,58.498,-64.150,329.033,6.990,10,GOOD_FIT,49.775,-76.585,324.207,50.018,-71.647,329.331,6.990,11,GOOD_FIT,36.865,-78.200,326.935,38.941,-75.630,332.060,6.990,12,GOOD_FIT,26.057,-77.606,333.625,31.371,-72.949,339.953,6.990,13,GOOD_FIT,21.931,-74.954,341.976,29.786,-63.712,350.422,6.990,14,GOOD_FIT,21.133,-71.286,351.991,28.912,-52.509,360.196,6.990,15,GOOD_FIT,19.498,-68.202,361.345,26.389,-44.706,367.035,0.000,
32,GOOD_FIT,62.045,-70.881,328.615,61.975,-56.794,336.060,6.990,33,GOOD_FIT,58.993,-74.772,335.676,59.355,-63.845,345.472,6.990,34,GOOD_FIT,51.700,-76.990,347.934,53.751,-66.500,355.376,6.990,35,GOOD_FIT,44.619,-79.454,363.411,47.720,-68.694,367.028,6.990,36,GOOD_FIT,38.812,-82.454,373.065,41.916,-72.039,373.975,6.990,37,GOOD_FIT,31.206,-81.484,374.092,35.002,-70.168,375.614,6.990,38,GOOD_FIT,23.035,-76.171,372.324,28.415,-60.139,375.783,6.990,39,GOOD_FIT,18.555,-70.681,369.594,24.970,-49.156,373.710,0.000,
40,GOOD_FIT,62.030,-69.615,332.378,61.950,-52.966,340.805,6.990,41,GOOD_FIT,57.742,-71.427,341.243,58.894,-55.624,349.602,6.990,42,GOOD_FIT,50.986,-73.973,355.468,54.271,-59.661,360.642,6.990,43,GOOD_FIT,45.544,-78.041,368.505,48.721,-65.030,370.531,6.990,44,GOOD_FIT,38.526,-80.742,375.155,41.795,-68.465,375.489,6.990,45,GOOD_FIT,30.747,-80.742,375.480,34.588,-68.452,376.599,6.990,46,GOOD_FIT,21.441,-76.915,374.330,26.707,-61.169,377.258,6.990,47,GOOD_FIT,17.227,-71.520,370.652,23.827,-50.587,374.780,0.000,
64,GOOD_FIT,58.242,-67.053,337.177,58.959,-46.105,345.661,6.990,65,GOOD_FIT,52.006,-65.866,350.944,55.052,-42.895,355.304,6.990,66,GOOD_FIT,46.373,-64.663,362.371,50.352,-39.928,363.755,6.990,67,GOOD_FIT,40.314,-62.293,371.819,44.167,-34.860,370.833,6.990,68,GOOD_FIT,35.555,-63.012,383.504,39.268,-34.995,380.331,6.990,69,GOOD_FIT,28.057,-66.354,387.245,32.361,-39.621,383.585,6.990,70,GOOD_FIT,18.606,-68.991,384.134,24.196,-44.086,382.464,6.990,71,GOOD_FIT,13.171,-67.886,375.374,20.123,-42.530,377.288,0.000,
72,GOOD_FIT,55.944,-64.687,336.767,57.241,-40.485,344.975,6.990,73,GOOD_FIT,50.027,-60.493,347.789,52.845,-31.518,351.260,6.990,74,GOOD_FIT,44.791,-58.833,359.213,48.365,-28.458,358.847,6.990,75,GOOD_FIT,40.938,-53.018,373.780,43.819,-18.670,369.133,6.990,76,GOOD_FIT,35.734,-54.138,382.136,39.028,-20.013,377.427,6.990,77,GOOD_FIT,27.980,-58.371,385.490,32.399,-26.223,381.475,6.990,78,GOOD_FIT,19.057,-62.663,384.202,24.712,-32.803,381.509,6.990,79,GOOD_FIT,11.732,-65.185,374.822,18.928,-37.095,376.265,0.000,
96,GOOD_FIT,54.957,-63.495,333.118,56.277,-38.042,341.270,6.990,97,GOOD_FIT,48.611,-59.010,343.434,51.486,-28.031,347.868,6.990,98,GOOD_FIT,43.809,-57.907,355.050,47.561,-26.126,355.264,6.990,99,GOOD_FIT,40.823,-54.110,369.035,44.207,-20.017,365.266,6.990,100,GOOD_FIT,38.732,-52.490,380.040,41.463,-17.832,374.639,6.990,101,GOOD_FIT,31.085,-56.317,383.890,35.088,-23.058,379.758,6.990,102,GOOD_FIT,21.959,-59.302,382.009,27.326,-27.536,379.213,6.990,103,GOOD_FIT,13.257,-61.764,373.009,20.168,-31.306,373.594,0.000,
104,GOOD_FIT,57.519,-65.418,326.515,58.229,-43.275,334.296,6.990,105,GOOD_FIT,47.929,-62.501,324.273,50.574,-36.207,331.845,6.990,106,GOOD_FIT,36.162,-60.288,323.126,41.518,-31.475,330.768,6.990,107,GOOD_FIT,26.279,-61.546,326.140,34.049,-33.286,333.607,6.990,108,GOOD_FIT,16.959,-61.902,331.700,26.605,-32.839,339.630,6.990,109,GOOD_FIT,10.193,-61.631,341.424,19.908,-30.114,349.634,6.990,110,GOOD_FIT,9.371,-61.896,352.804,17.932,-30.125,358.926,6.990,111,GOOD_FIT,13.445,-62.787,362.462,20.803,-32.776,366.238,0.000,
16,GOOD_FIT,46.446,-108.170,326.829,36.065,-127.651,323.105,2.000,17,GOOD_FIT,43.133,-107.358,327.134,33.013,-127.472,323.542,5.000,18,GOOD_FIT,37.740,-105.940,328.083,28.279,-127.010,324.892,2.000,19,GOOD_FIT,34.795,-105.027,327.420,25.561,-127.049,324.423,5.000,20,GOOD_FIT,28.750,-103.659,327.573,19.917,-127.460,324.801,2.000,21,GOOD_FIT,24.426,-102.913,328.339,15.788,-128.143,325.734,5.000,22,GOOD_FIT,18.103,-101.770,329.875,9.988,-128.709,327.873,2.000,23,GOOD_FIT,15.400,-101.227,330.977,7.595,-128.692,329.433,5.000,24,GOOD_FIT,10.659,-99.634,333.016,4.019,-127.270,332.593,2.000,25,GOOD_FIT,8.373,-98.540,333.038,2.158,-126.531,333.394,0.000,
