St. Jude Medical. File Revision : 5.0.2
Export Data Element : Labels
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000

Text: Label Name
Type: 3DP|3DE|3DD|DIF|ENS
   3DP: 3D label at an EnGuide electrode location BUT projected onto a surface, if possible
   3DE: 3D label at an EnGuide electrode location
   ENS: Surface label placed on an EnSite surface
   3DD: 3D label imported as part of a DIF file
   DIF: Surface label placed on a DIF surface
Surface: Name of surface on which label is placed or projected, if any
x,y,z: Coordinates of center of label in space
xt,yt,zt: Coordinates of transformed center of label in space
xw,yw,zw: Coordinates of actual center of label in space
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible

Number of waves (columns): ,11                  
Number of samples (rows): ,146                 
Text,Type,Surface,x,y,z,xt,yt,zt,xw,yw,zw,Display,Visible,
PHR,3DP,RA,-6.350,-94.473,335.326,-13.178,-124.335,340.669,-19.524,-126.656,342.581,0,1
PHR,ENS,RA,-13.262,-92.011,331.614,-22.308,-124.666,338.515,-21.708,-124.516,338.350,0,1
PHR,3DP,RA,-7.316,-93.130,339.803,-13.683,-118.222,347.493,-18.546,-119.036,349.940,0,1
PHR,3DP,RA,-5.825,-92.459,339.528,-11.200,-116.350,347.130,-18.415,-116.672,350.717,0,1
PHR,3DP,RA,-8.496,-92.574,342.400,-15.009,-115.491,351.361,-17.685,-115.296,352.361,0,1
PHR,3DP,RA,-6.679,-91.814,342.507,-12.000,-113.160,351.411,-16.218,-111.025,352.545,0,1
PHR,3DP,RA,-6.764,-95.787,340.254,-14.512,-123.503,346.371,-17.835,-124.702,348.222,0,1
PHR,3DP,RA,-6.238,-95.849,341.738,-13.727,-122.302,348.217,-17.335,-123.516,349.951,0,1
PHR,3DP,RA,-9.282,-89.238,330.436,-15.075,-116.825,338.465,-19.457,-115.425,338.909,0,1
PHR,3DP,RA,-8.503,-92.820,332.434,-15.912,-123.849,338.317,-20.747,-125.652,340.089,0,1
PHR,3DP,[N/A],-3.601,-88.860,333.725,-6.225,-110.992,341.187,-6.225,-110.992,341.187,0,1
